Angle (Raw): 32822 | Angle (Calc): 2.43 | Direction: 128
Angle (Raw): 32820 | Angle (Calc): 2.34 | Direction: 128
Angle (Raw): 32818 | Angle (Calc): 2.25 | Direction: 128
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 128
Angle (Raw): 32811 | Angle (Calc): 1.935 | Direction: 128
Angle (Raw): 32808 | Angle (Calc): 1.8 | Direction: 128
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 128
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 128
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 0
Angle (Raw): 32806 | Angle (Calc): 1.71 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 128
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 128
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 128
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 128
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 128
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 0
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 0
Angle (Raw): 32804 | Angle (Calc): 1.62 | Direction: 0
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 128
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 128
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 128
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 128
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 128
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 128
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32768 | Angle (Calc): 0 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 128
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 128
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 128
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 128
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 128
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 128
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 128
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 128
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 128
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 128
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32797 | Angle (Calc): 1.305 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32793 | Angle (Calc): 1.125 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32790 | Angle (Calc): 0.99 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32788 | Angle (Calc): 0.9 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32772 | Angle (Calc): 0.18 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32770 | Angle (Calc): 0.09 | Direction: 0
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32774 | Angle (Calc): 0.27 | Direction: 0
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 0
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 0
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 0
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 0
Angle (Raw): 32777 | Angle (Calc): 0.405 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 128
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32779 | Angle (Calc): 0.495 | Direction: 128
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32781 | Angle (Calc): 0.585 | Direction: 0
Angle (Raw): 32783 | Angle (Calc): 0.675 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32786 | Angle (Calc): 0.81 | Direction: 0
Angle (Raw): 32795 | Angle (Calc): 1.215 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32802 | Angle (Calc): 1.53 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
Angle (Raw): 32799 | Angle (Calc): 1.395 | Direction: 0
